City,Country,AvgTemp,Precipitation,AvgSunHours
North Shelby,Myanmar,13.34273463416836,13.18489073906437,2.946474187110719
Hernandezfurt,Zimbabwe,8.251621602414165,83.9461688660264,6.415665198074083
Lake Zachary,Turkmenistan,8.392832501604179,132.0400745474431,8.71879429516689
East Nathanhaven,Singapore,2.1425592014878365,197.60688865393163,1.3991042543383627
East Lindsay,United States of America,17.20459097625226,76.81686029696407,0.7177103403996967
West Keith,Montenegro,0.4982260063967576,196.9186521127109,2.6898989394752015
Port Christopher,Monaco,14.663506692808586,109.77217050070772,5.030967842347712
Leeville,Nauru,23.193687857080405,92.75081030493087,8.006093008813318
Lewisfort,Bosnia and Herzegovina,7.22644975671121,83.08680156534483,0.10972352441346844
Robertschester,Equatorial Guinea,27.970961558464737,115.8678921100772,6.46267522905611
North Reneefurt,China,9.70140671882664,85.7073064063442,3.4904960975999955
New Christopher,Luxembourg,12.127481967808784,76.69511871655936,4.020186050121504
Tiffanyport,Holy See (Vatican City State),14.136685322174696,195.6337991697834,5.198759350334747
North Michaelport,Romania,18.339187704946724,98.90166718240472,5.520297490756026
Davisborough,Samoa,18.00509605442488,156.03773177783214,4.821366570930165
Lake John,Iceland,24.379919369820712,101.25967273377059,1.0487170001872417
Morganfort,Comoros,10.327859299516064,46.38631385151799,1.9097245211435792
Smithmouth,Thailand,34.48441411779923,189.67361227351066,5.920312436385617
North Morganburgh,Philippines,11.912550562663702,176.2613985857573,4.638681394344987
New Jenniferburgh,French Guiana,-5.272561798428768,28.386679033703444,11.960420134457562
Leeborough,Cambodia,17.302280806843438,176.99646354126423,9.235434045442865
North Sharonfurt,France,16.48820757481694,39.40279423328909,6.994215217094316
Jenniferville,Czech Republic,47.926943217159646,113.7226659150177,6.574020697763107
Cortezland,Kiribati,9.976252878741267,186.20304853932865,0.5999518969298401
Port Stephanieville,Saint Lucia,24.368307918688586,112.89863415435559,8.120778395445644
Dickersonchester,Montenegro,19.22378709424986,42.32570140879752,6.785162100488099
Port Jenniferport,Tonga,2.853847070497018,52.99079041894148,6.190801880942261
South Jayburgh,Uruguay,11.366465026703438,135.71415241230574,9.197336163689389
Jonesfurt,Paraguay,4.83624556683087,149.40792976125906,9.395884774519194
Danielleville,Eritrea,23.1615458243511,118.3504471303048,2.6002878296607976
Robertberg,Bermuda,-11.42064831299757,56.285156771014556,2.215790595022194
Lake Dawnland,Mexico,5.004099750027365,37.35416053710803,7.91599843972505
Morrisport,Uruguay,8.157033612615706,130.9293246407571,3.969628191007091
Rosariotown,French Polynesia,1.2137988982214143,45.866250763077666,5.4573498377452605
Nortonton,French Guiana,13.833377043375673,32.55579253461933,0.5325279203850193
Riveraville,Jersey,9.990728024406458,26.22825516005245,5.07526729473097
Vanessafurt,Sierra Leone,28.049273097480246,147.7689151763616,11.302187644161013
Andersonburgh,Guatemala,3.2993938339216946,142.38231219060899,8.25202315379148
South Kevin,Andorra,19.273369796634952,185.49490220315107,9.832865972439638
Davisview,Mali,10.131233912505554,52.342520401010596,7.530296571532567
Vanessamouth,South Africa,5.600318615583642,117.89091671314324,7.0213009236482655
Marieside,Cook Islands,16.936713284060897,183.9232592262363,11.650259455516883
West Cynthia,Mauritania,13.695334751828481,44.70110309134472,5.876566539549222
Riddleburgh,Comoros,31.364107856101914,90.79378599879347,9.48362355604392
Port Debra,Angola,2.5268311439948086,193.16352063272305,2.7769315334986815
Daleberg,Liberia,19.555480113563195,190.9764781034569,1.2235336153219345
Montesstad,Myanmar,22.87487320266537,102.31722991109433,2.175923905021867
Clarkmouth,Marshall Islands,25.548787918254963,89.73377404961502,4.10764940246486
South Justinfort,Congo,29.028952868789197,188.96537226003363,5.528194266396826
Serranofort,Albania,11.596846247040123,119.89132653282435,10.672644449570939
West Adam,Jersey,7.33757158712503,49.38826613981482,7.111506375043595
Thomasbury,French Guiana,22.910608149152893,103.46533908154052,7.711321113097762
Joshuachester,British Indian Ocean Territory (Chagos Archipelago),9.319158479856082,114.51060512151274,4.619388561616804
Stricklandton,Tunisia,-1.864377768791627,110.45836992237008,8.03543926346579
Daisyshire,Morocco,32.95106658295521,81.13584841518878,4.849391349267984
North Daniel,Kazakhstan,9.82924212760583,29.28409636433482,7.29682938101144
Timothyhaven,Burkina Faso,28.853579034969897,173.6112452104289,6.429720057339007
Ashleystad,Puerto Rico,10.1243928141349,22.465610441336416,3.69487850465542
Gambleton,Algeria,24.538254436534345,27.893631554931254,1.0032297527007938
Lake Alexandria,Cape Verde,10.872616028189398,29.84963363692581,1.4712470531910107
